id,formulation_id,ingredient_id,percentage,created_at,updated_at
1,1,7,10,8/2/2018,8/2/2018
2,1,25,5,8/2/2018,8/2/2018
3,1,20,2,8/2/2018,8/2/2018
4,1,26,0.03,8/2/2018,8/2/2018
5,2,8,4,8/2/2018,8/2/2018
6,2,20,4,8/2/2018,8/2/2018
7,2,10,1,8/2/2018,8/2/2018
8,2,16,1,8/2/2018,8/2/2018
9,3,14,2,8/2/2018,8/2/2018
10,3,2,2,8/2/2018,8/2/2018
11,3,16,1,8/2/2018,8/2/2018
12,3,1,1,8/2/2018,8/2/2018
13,3,26,0.05,8/2/2018,8/2/2018
14,4,20,4,8/2/2018,8/2/2018
15,4,3,1,8/2/2018,8/2/2018
16,4,13,1,8/2/2018,8/2/2018
17,4,26,0.03,8/2/2018,8/2/2018
18,5,25,5,8/2/2018,8/2/2018
19,5,20,4,8/2/2018,8/2/2018
20,5,19,1,8/2/2018,8/2/2018
21,5,16,1,8/2/2018,8/2/2018
22,6,17,5,8/2/2018,8/2/2018
23,6,4,2,8/2/2018,8/2/2018
24,6,2,2,8/2/2018,8/2/2018
25,6,3,1,8/2/2018,8/2/2018
26,6,16,1,8/2/2018,8/2/2018
27,6,26,0.05,8/2/2018,8/2/2018
28,7,15,4,8/2/2018,8/2/2018
29,7,26,0.1,8/2/2018,8/2/2018
30,7,16,1,8/2/2018,8/2/2018
31,7,14,1,8/2/2018,8/2/2018
32,7,31,2,8/2/2018,8/2/2018
33,8,17,4,8/2/2018,8/2/2018
34,8,15,4,8/2/2018,8/2/2018
35,8,16,1,8/2/2018,8/2/2018
36,8,26,0.03,8/2/2018,8/2/2018
37,9,7,10,8/2/2018,8/2/2018
38,9,17,4,8/2/2018,8/2/2018
39,9,13,2,8/2/2018,8/2/2018
40,9,3,1,8/2/2018,8/2/2018
41,10,20,3,8/2/2018,8/2/2018
42,10,17,3,8/2/2018,8/2/2018
43,10,15,2,8/2/2018,8/2/2018
44,10,5,2,8/2/2018,8/2/2018
45,10,6,2,8/2/2018,8/2/2018
46,10,14,2,8/2/2018,8/2/2018
47,10,1,1,8/2/2018,8/2/2018
48,10,16,0.5,8/2/2018,8/2/2018
49,10,26,0.03,8/2/2018,8/2/2018
50,11,6,5,8/2/2018,8/2/2018
51,11,20,3,8/2/2018,8/2/2018
52,11,14,2,8/2/2018,8/2/2018
53,11,26,0.03,8/2/2018,8/2/2018
54,12,25,5,8/2/2018,8/2/2018
55,12,7,5,8/2/2018,8/2/2018
56,12,6,5,8/2/2018,8/2/2018
57,12,10,1,8/2/2018,8/2/2018
58,12,14,1,8/2/2018,8/2/2018
59,12,26,0.05,8/2/2018,8/2/2018
60,13,15,8,8/2/2018,8/2/2018
61,13,26,0.03,8/2/2018,8/2/2018
62,13,16,2,8/2/2018,8/2/2018
63,13,17,4,8/2/2018,8/2/2018
64,14,29,0.5,8/2/2018,8/2/2018
65,14,30,3,8/2/2018,8/2/2018
66,14,38,0.5,8/2/2018,8/2/2018
67,14,31,2,8/2/2018,8/2/2018
68,14,28,3,8/2/2018,8/2/2018
69,14,32,1,8/2/2018,8/2/2018
70,14,33,1,8/2/2018,8/2/2018
71,15,29,0.5,8/2/2018,8/2/2018
72,15,38,0.5,8/2/2018,8/2/2018
73,15,31,2,8/2/2018,8/2/2018
74,15,28,3,8/2/2018,8/2/2018
75,15,34,0.3,8/2/2018,8/2/2018
76,15,32,1,8/2/2018,8/2/2018
77,15,20,3,8/2/2018,8/2/2018
78,15,35,0.01,8/2/2018,8/2/2018
79,16,25,8,8/2/2018,8/2/2018
80,16,21,3,8/2/2018,8/2/2018
81,16,20,2,8/2/2018,8/2/2018
82,16,23,2,8/2/2018,8/2/2018
83,16,13,1,8/2/2018,8/2/2018
84,16,27,0.1,8/2/2018,8/2/2018
85,17,2,2,8/2/2018,8/2/2018
86,17,3,2,8/2/2018,8/2/2018
87,17,16,1.5,8/2/2018,8/2/2018
88,17,10,1,8/2/2018,8/2/2018
89,17,26,0.05,8/2/2018,8/2/2018
90,18,36,3,8/2/2018,8/2/2018
91,18,3,2,8/2/2018,8/2/2018
92,18,31,2,8/2/2018,8/2/2018
93,18,13,2,8/2/2018,8/2/2018
94,18,27,0.1,8/2/2018,8/2/2018
95,18,16,2,8/2/2018,8/2/2018
96,18,29,0.5,8/2/2018,8/2/2018
97,19,7,10,8/2/2018,8/2/2018
98,19,20,2,8/2/2018,8/2/2018
99,19,19,0.75,8/2/2018,8/2/2018
100,20,39,0.05,8/2/2018,8/2/2018
101,20,15,6,8/2/2018,8/2/2018
102,20,32,1,8/2/2018,8/2/2018
103,20,3,2,8/2/2018,8/2/2018
104,20,13,2,8/2/2018,8/2/2018
105,21,27,0.1,8/2/2018,8/2/2018
106,21,16,2,8/2/2018,8/2/2018
107,21,14,2,8/2/2018,8/2/2018
108,21,28,3,8/2/2018,8/2/2018
109,21,2,2,8/2/2018,8/2/2018
110,21,1,2,8/2/2018,8/2/2018
111,22,25,5,8/2/2018,8/2/2018
112,22,7,5,8/2/2018,8/2/2018
113,22,10,1,8/2/2018,8/2/2018
114,22,14,1,8/2/2018,8/2/2018
115,22,26,0.1,8/2/2018,8/2/2018
116,22,16,1,8/2/2018,8/2/2018
117,23,36,3,8/2/2018,8/2/2018
118,23,3,2,8/2/2018,8/2/2018
119,23,32,1,8/2/2018,8/2/2018
120,23,13,2,8/2/2018,8/2/2018
121,23,21,3,8/2/2018,8/2/2018
122,23,20,3,8/2/2018,8/2/2018
123,24,29,0.5,8/2/2018,8/2/2018
124,24,30,3,8/2/2018,8/2/2018
125,24,31,2,8/2/2018,8/2/2018
126,24,28,3,8/2/2018,8/2/2018
127,24,32,1,8/2/2018,8/2/2018
128,24,33,1,8/2/2018,8/2/2018
129,24,26,0.03,8/2/2018,8/2/2018
130,24,20,3,8/2/2018,8/2/2018
131,25,29,0.5,8/2/2018,8/2/2018
132,25,22,2,8/2/2018,8/2/2018
133,25,31,2,8/2/2018,8/2/2018
134,25,28,3,8/2/2018,8/2/2018
135,25,34,0.3,8/2/2018,8/2/2018
136,25,32,1,8/2/2018,8/2/2018
137,25,20,3,8/2/2018,8/2/2018
138,25,35,0.01,8/2/2018,8/2/2018
139,25,26,0.03,8/2/2018,8/2/2018
140,26,13,1,8/2/2018,8/2/2018
141,26,20,4,8/2/2018,8/2/2018
142,26,26,0.03,8/2/2018,8/2/2018
143,26,3,1,8/2/2018,8/2/2018
144,27,7,10,8/2/2018,8/2/2018
145,27,17,4,8/2/2018,8/2/2018
146,27,13,2,8/2/2018,8/2/2018
147,27,3,1,8/2/2018,8/2/2018
148,27,16,1,8/2/2018,8/2/2018
149,28,15,8,8/2/2018,8/2/2018
150,28,26,0.03,8/2/2018,8/2/2018
151,28,16,2,8/2/2018,8/2/2018
152,28,17,4,8/2/2018,8/2/2018
153,28,36,3,8/2/2018,8/2/2018
154,29,19,1,8/2/2018,8/2/2018
155,29,20,4,8/2/2018,8/2/2018
156,29,16,1,8/2/2018,8/2/2018
157,29,7,5,8/2/2018,8/2/2018
158,30,2,1,8/2/2018,8/2/2018
159,30,12,6,8/2/2018,8/2/2018
160,30,16,1,8/2/2018,8/2/2018
161,30,14,2,8/2/2018,8/2/2018
162,30,1,1,8/2/2018,8/2/2018
163,31,15,4,8/2/2018,8/2/2018
164,31,16,1,8/2/2018,8/2/2018
165,31,17,4,8/2/2018,8/2/2018
